market,algorithm,trained_test_r2,trained_test_mae,trained_test_rmse,trained_train_r2,tuned_test_r2,tuned_test_mae,tuned_test_rmse,tuned_train_r2
sale,linear_regression,0.6665342302447972,132695.02043529923,245826.28202779853,0.6883607079084983,0.6665350567051832,132694.78569829903,245825.97740011517,0.6883607077975681
sale,decision_tree,0.6617769915469149,120998.7626554499,247573.55719511988,0.9994799547605123,0.7273608109110562,112223.00651822482,222278.17548468488,0.8068270305329523
sale,random_forest,0.7786072531514949,88218.01726888647,200301.5808781388,0.9602436961309184,0.7822307570638827,87343.85345759252,198655.6645896809,0.9769348330514007
sale,xgboost,0.8127878072832329,84644.49800115444,184191.56911546897,0.9635851574702687,0.8107613169004029,81854.89934333852,185185.78259974846,0.9841336931140316
rent,linear_regression,0.5414303652270367,348.4467020168522,730.4499266315099,0.6729189322215292,0.5397799959747769,343.49966702784974,731.7631725497125,0.6703331284667474
rent,decision_tree,0.45222497793316563,364.3381264715776,798.3418857423935,0.9981855421588657,0.5240872297100596,332.55888779641054,744.1345723805699,0.8155338901161312
rent,random_forest,0.5902181071528867,270.4332952747635,690.5007984631785,0.9464422456090906,0.5842746986875029,265.4184802904162,695.49022653927,0.9434945819738434
rent,xgboost,0.6119171274977703,261.1725867586107,671.9702423530697,0.9722901809420013,0.6214576365725103,255.48856985821612,663.6590907072641,0.9869938272433434
