livable_surface,bedrooms,bathrooms,toilets,build_year,facades,number_of_floors,primary_energy_consumption,land_surface,latitude,longitude,nearest_city_distance_km,property_type,province,region,epc,building_state,kitchen_equipment,heating_type,new_construction,furnished,terrace,garden,swimming_pool,elevator,cellar,solar_panels,air_conditioning,has_parking,price,neighbourhood_price_index
62.0,1.0,,1.0,,,,58.0,,50.6073845,3.38962354,0.04,flat,Hainaut,Wallonia,A,,,,0,0,1,0,1,1,0,0,0,0,800.0,27.6
165.0,3.0,1.0,1.0,,3.0,,292.0,430.0,50.7063021,3.320003,,house,Hainaut,Wallonie,D,A,Fully equipped,Gas,0,0,1,1,0,0,1,0,0,1,1000.0,5.6
76.0,1.0,1.0,1.0,,2.0,3.0,599.0,,50.8446099,4.4180481,4.79,flat,Brussels,Brussels,G,Excellent,Super equipped,Gas,0,0,0,0,0,0,1,0,0,0,1050.0,78.8
90.0,0.0,0.0,0.0,1958.0,,3.0,398.0,,50.9282817,5.347159599999999,,flat,Limburg,Flanders,D,A,,,0,0,0,0,0,1,0,0,0,0,950.0,22.9
24.0,1.0,1.0,1.0,,2.0,,139.0,,50.88007109999999,4.7028116,,flatStudio,Flemish Brabant,Flanders,B,A,Fully equipped,,0,0,0,0,0,0,0,0,0,0,840.0,68.3
108.0,2.0,1.0,,,,,,,50.4086882,4.4381883,,flat,Hainaut,Wallonia,C,,,,0,0,0,0,0,0,0,0,0,0,950.0,17.2
60.0,2.0,1.0,2.0,,2.0,1.0,100.0,,50.2097015,5.120729,33.66,duplex,Namur,Wallonia,B,Fully renovated,Fully equipped,Gas,0,0,0,0,0,0,0,0,0,1,700.0,19.9
65.0,2.0,1.0,1.0,,2.0,1.0,487.0,100.0,50.3039424,4.8973977,,house,Namur,Wallonie,F,C,,,0,0,1,1,0,0,1,0,0,0,750.0,33.7
201.0,3.0,1.0,2.0,2003.0,,,146.0,395.0,50.95587399999999,5.3200976,,house,Limburg,Flanders,B,B,Fully equipped,Gas,0,0,0,0,0,0,0,0,0,0,1600.0,22.6
110.0,2.0,1.0,,2022.0,2.0,,,,50.6685329,5.5566716,2.86,flat,Liège,Wallonia,,Excellent,,Gas,0,0,1,0,0,0,0,0,0,0,1150.0,24.9
100.0,2.0,1.0,1.0,1968.0,,5.0,198.0,,50.8569755,4.3193694,2.43,flat,Brussels,Brussels,D,Normal,Super equipped,Gas,0,0,1,0,0,1,1,0,0,0,1200.0,68.7
100.0,2.0,2.0,,,,,,,50.8469654,4.3740968,,duplex,Brussels,Brussels,G,,,,0,0,0,0,0,0,0,0,0,0,1590.0,84.2
187.0,4.0,2.0,3.0,1910.0,2.0,2.0,149.0,200.0,50.8084174,4.4383633,,house,Brussels,Brussels,C,A,Super equipped,Gas,0,0,1,1,0,0,1,0,0,0,2475.0,70.3
60.0,1.0,1.0,,,,,,,50.6456277,5.552008,1.51,flat,Liège,Wallonia,,Excellent,,Gas,0,0,0,0,0,0,0,0,0,0,650.0,39.6
110.0,2.0,1.0,,,,,,,50.8291899,4.3501714,,duplex,Brussels,Brussels,D,,,,0,0,0,0,0,0,0,0,0,0,1800.0,76.5
92.0,3.0,1.0,,2015.0,,2.0,,,51.2350472,4.411292,,duplex,Antwerp,Flanders,A,B,Fully equipped,Gas,0,0,1,1,0,0,1,0,0,0,1475.0,60.5
134.0,3.0,1.0,,,2.0,,179.0,,50.8235717,4.3766927,3.19,flat,Brussels,Brussels,D,,,Gas,0,0,0,0,0,0,0,0,0,0,2000.0,93.1
