livable_surface,bedrooms,bathrooms,toilets,build_year,facades,number_of_floors,primary_energy_consumption,land_surface,latitude,longitude,nearest_city_distance_km,property_type,province,region,epc,building_state,kitchen_equipment,heating_type,new_construction,furnished,terrace,garden,swimming_pool,elevator,cellar,solar_panels,air_conditioning,has_parking,price,neighbourhood_price_index
125.0,1.0,1.0,1.0,,,,196.0,,51.06031,4.577756,7.71,groundFloor,Antwerp,Flanders,B,Excellent,,Gas,0,0,0,1,0,0,0,0,0,0,378000.0,58.3
133.0,3.0,,,,,,,,50.7785883,5.6931844,,house,Liège,Wallonia,D,,,,0,0,0,0,0,0,0,0,0,0,259000.0,20.0
71.0,2.0,,,,,,,130.0,50.3893428,4.51597481,5.59,house,Hainaut,Wallonia,,,,,0,0,0,0,0,0,0,0,0,0,119000.0,8.1
359.0,3.0,1.0,1.0,2005.0,4.0,1.0,663.0,5499.0,51.0339503,3.6460762,,bungalow,East Flanders,Flanders,F,B,,Fuel oil,0,0,0,0,0,0,0,0,0,1,1173000.0,89.2
95.0,2.0,1.0,1.0,,,,115.0,,50.4856889,4.159113,,flat,Hainaut,Wallonie,A,B,,Gas,0,0,0,0,0,1,0,0,0,0,139000.0,10.6
110.0,2.0,,,,,,,,50.569689,4.061821,,flat,Hainaut,Wallonia,A,,,,0,0,0,0,0,0,0,0,0,0,297000.0,48.2
161.0,3.0,1.0,2.0,2009.0,,,22.0,,51.1565173,3.1959986,6.2,flat,West Flanders,Flanders,A,,,,0,0,1,0,0,0,0,0,0,0,675000.0,58.5
40.0,2.0,1.0,1.0,2006.0,4.0,,,275.0,50.2167563,4.814052999999999,,house,Namur,Wallonie,,B,Fully equipped,Wood,0,0,1,1,0,0,0,0,0,1,110000.0,32.6
245.0,4.0,2.0,,,2.0,,226.0,255.0,50.408662,3.8593943,8.53,house,Hainaut,Wallonia,C,Normal,Fully equipped,Gas,0,0,1,1,0,0,1,0,0,0,180000.0,5.7
80.0,2.0,1.0,1.0,,,,391.0,,50.4240349,4.4785997,2.82,flat,Hainaut,Wallonia,E,,,,0,0,1,0,0,0,0,0,0,0,100000.0,11.7
396.0,7.0,4.0,,,4.0,,229.0,4500.0,50.1248143,5.7027075,,house,Luxembourg,Wallonie,C,A,Fully equipped,,0,0,0,0,0,0,0,0,0,1,1050000.0,26.4
129.0,2.0,,,,,,,,50.7678087,3.0005037,,flat,Hainaut,Wallonia,A,,,,0,0,0,0,0,0,0,0,0,0,450000.0,50.7
290.0,4.0,2.0,1.0,2010.0,,3.0,117.0,,50.8466088,4.341761,0.57,loft,Brussels,Brussels,C,Excellent,Super equipped,Gas,0,0,1,0,1,1,0,0,0,1,795000.0,88.2
432.0,4.0,2.0,,,,,,,51.21354,4.907846,,house,Antwerp,Flanders,B,,,,0,0,0,0,0,0,0,0,0,0,790000.0,24.5
361.0,3.0,1.0,,,,,,,50.8380271,4.4829178,,house,Flemish Brabant,Flanders,E,,,,0,0,0,0,0,0,0,0,0,0,695000.0,73.4
101.0,3.0,1.0,,1987.0,,12.0,95.0,,50.8387619,4.3849979,2.62,flat,Brussels,Brussels,B,Normal,,,0,0,1,0,0,1,0,0,0,0,425000.0,92.9
82.0,2.0,2.0,1.0,2019.0,2.0,7.0,81.0,,50.8247994,4.3090509,,flat,Brussels,Brussels,B,A,Super equipped,,0,0,1,0,0,1,0,0,0,0,299000.0,75.5
94.0,2.0,2.0,,,,,,,50.814149,4.3212382,,flat,Brussels,Brussels,B,,,,0,0,0,0,0,0,0,0,0,0,354500.0,79.7
,3.0,2.0,1.0,1966.0,3.0,2.0,793.0,899.0,51.10321,4.72927,19.31,house,Antwerp,Flanders,F,,,Fuel oil,0,0,0,0,0,0,0,0,0,0,349000.0,44.9
148.0,3.0,1.0,2.0,1970.0,2.0,,113.0,178.0,50.7401119,3.2274412,,house,Hainaut,Wallonie,B,B,Fully equipped,Gas,0,0,1,0,0,0,0,0,0,0,219000.0,9.5
150.0,3.0,1.0,,,,,,,50.9882164,3.9326683,,house,East Flanders,Flanders,F,,,,0,0,0,0,0,0,0,0,0,0,395000.0,37.3
162.0,3.0,1.0,,1963.0,3.0,4.0,438.0,336.0,50.8735459,4.2567614,,house,Flemish Brabant,Flanders,E,,,Gas,0,0,1,1,0,0,0,0,0,1,430000.0,37.4
90.0,2.0,1.0,,,,,,,50.5663392,5.3041736,,groundFloor,Liège,Wallonia,B,,,,0,0,0,0,0,0,0,0,0,0,234000.0,7.9
200.0,2.0,1.0,2.0,,2.0,2.0,91.0,,50.5889657,5.8484139,,duplex,Liège,Wallonie,B,A,Fully equipped,Gas,0,0,0,0,0,1,0,0,0,0,229000.0,18.1
,2.0,1.0,1.0,2012.0,,,100.0,,51.0935614,3.7072247,,flat,East Flanders,Flanders,A,,,,0,0,1,0,0,1,0,0,0,1,479000.0,76.3
134.0,3.0,1.0,1.0,,,1.0,212.0,,50.4743764,4.187357899999999,,house,Hainaut,Wallonie,C,B,,Gas,0,0,1,0,0,0,1,0,0,0,180000.0,15.2
179.0,3.0,1.0,1.0,1939.0,,,661.0,455.0,51.2310318,4.2686451,,house,East Flanders,Flanders,F,B,,Gas,0,0,0,0,0,0,0,0,0,1,325000.0,45.4
