market,algorithm,trained_test_r2,trained_test_mae,trained_test_rmse,trained_train_r2,tuned_test_r2,tuned_test_mae,tuned_test_rmse,tuned_train_r2
sale,linear_regression,0.605603667700138,133207.89820786833,254518.69174686648,0.6546864562883021,0.6060250292451148,133082.23419828614,254382.69523789702,0.6541834212141704
sale,decision_tree,0.6352197941740836,97909.15644257703,244776.0264908885,0.9996193172460452,0.6765701068657806,109478.64195161925,230485.35048853743,0.8569302743706838
sale,random_forest,0.74942367643141,84296.02583734598,202872.53920743577,0.9614158709504832,0.7534032898760097,82293.33880379234,201255.09676137572,0.978863358144979
sale,xgboost,0.7697254544293244,86439.43156758798,194480.56853751282,0.9279748049709905,0.7854224408843705,75891.34088145023,187735.06564323546,0.9938605856505813
rent,linear_regression,0.5830008833876728,309.0986644025661,609.2216966593076,0.6503412660695858,0.5820646436494541,309.1428128298724,609.9052206133651,0.6499410883087628
rent,decision_tree,0.6433330395184702,241.82323883161513,563.4290493993407,0.9983441091591149,0.6437790194901907,270.00701900631793,563.0766805249058,0.8414902871782595
rent,random_forest,0.7100464027407474,219.7571973189098,508.0097468321612,0.9512207799927475,0.717535720845325,213.7642483136949,501.4060401740563,0.9747011463461014
rent,xgboost,0.7300048196689888,220.1665182474143,490.21410164950106,0.9331873983259599,0.7375733247215027,203.25488968157686,483.2944228598164,0.9895035577293547
